MSSV,Điểm danh

19502701,21:21 04/09/2024
19447641,21:21 04/09/2024
18091601,21:21 04/09/2024
19438581,21:21 04/09/2024
19436041,21:21 04/09/2024
19472811,21:21 04/09/2024
19471481,21:21 04/09/2024
19515111,21:21 04/09/2024
19429041,21:21 04/09/2024
19477071,21:21 04/09/2024
19532211,21:21 04/09/2024
19475611,21:21 04/09/2024
19497581,21:21 04/09/2024
19474281,21:21 04/09/2024
18083171,21:21 04/09/2024
19429851,21:21 04/09/2024
20049501,21:21 04/09/2024
18036331,21:21 04/09/2024
19489221,21:21 04/09/2024
19481471,21:21 04/09/2024
19472401,21:21 04/09/2024
19520401,21:21 04/09/2024
20045481,21:21 04/09/2024
19631081,21:21 04/09/2024
19467981,21:21 04/09/2024
19467351,21:21 04/09/2024
19462481,21:21 04/09/2024
16011911,21:21 04/09/2024
16021971,21:21 04/09/2024
16028971,21:21 04/09/2024
16036701,21:21 04/09/2024
18020471,21:21 04/09/2024
18093691,21:21 04/09/2024
18020931,21:21 04/09/2024
18036211,21:21 04/09/2024
18045321,21:21 04/09/2024
18066231,21:21 04/09/2024
18030111,21:21 04/09/2024
18018261,21:21 04/09/2024
19435201,21:21 04/09/2024
19535841,21:21 04/09/2024
19500001,21:21 04/09/2024
19001425,21:21 04/09/2024
19431971,21:21 04/09/2024
19503321,21:21 04/09/2024
19527701,21:21 04/09/2024
19473231,21:21 04/09/2024
19474061,21:21 04/09/2024
19481201,21:21 04/09/2024
19482521,21:21 04/09/2024
19474531,21:21 04/09/2024
19471981,21:21 04/09/2024
19483091,21:21 04/09/2024
19519691,21:21 04/09/2024
21142541,21:21 04/09/2024
21142601,21:21 04/09/2024
21142531,21:21 04/09/2024
18032551,21:21 04/09/2024
18068681,21:21 04/09/2024
18032441,21:21 04/09/2024
18063301,21:21 04/09/2024
19433831,21:21 04/09/2024
19445321,21:21 04/09/2024
19444171,21:21 04/09/2024
19438171,21:21 04/09/2024
19433711,21:21 04/09/2024
19436151,21:21 04/09/2024
19429761,21:21 04/09/2024
19471171,21:21 04/09/2024
19505691,21:21 04/09/2024
19506621,21:21 04/09/2024
19490441,21:21 04/09/2024
19503891,21:21 04/09/2024
19496591,21:21 04/09/2024
19517031,21:21 04/09/2024
19511901,21:21 04/09/2024
19509781,21:21 04/09/2024
19528791,21:21 04/09/2024
19523681,21:21 04/09/2024
19510681,21:21 04/09/2024
19519871,21:21 04/09/2024
19469091,21:21 04/09/2024
19525231,21:21 04/09/2024
19500551,21:21 04/09/2024
19495101,21:21 04/09/2024
19519011,21:21 04/09/2024
19469421,21:21 04/09/2024
18075581,21:21 04/09/2024
18084821,21:21 04/09/2024
18048361,21:21 04/09/2024
18056881,21:21 04/09/2024
18082971,21:21 04/09/2024
18077791,21:21 04/09/2024
19499601,21:21 04/09/2024
19473081,21:21 04/09/2024
19495611,21:21 04/09/2024
19478101,21:21 04/09/2024
18039151,21:21 04/09/2024
17051131,21:21 04/09/2024
17084971,21:21 04/09/2024
18025261,21:21 04/09/2024
18037851,21:21 04/09/2024
18086981,21:21 04/09/2024
18055381,21:21 04/09/2024
18040011,21:21 04/09/2024
18025431,21:21 04/09/2024
18019861,21:21 04/09/2024
18047651,21:21 04/09/2024
18050761,21:21 04/09/2024
18058021,21:21 04/09/2024
18054581,21:21 04/09/2024
18082111,21:21 04/09/2024
18081571,21:21 04/09/2024
19468371,21:21 04/09/2024
19476751,21:21 04/09/2024
19510771,21:21 04/09/2024
19476151,21:21 04/09/2024
19474251,21:21 04/09/2024
19437351,21:21 04/09/2024
19494421,21:21 04/09/2024
19479981,21:21 04/09/2024
19430231,21:21 04/09/2024
19483821,21:21 04/09/2024
19488031,21:21 04/09/2024
19434681,21:21 04/09/2024
19507391,21:21 04/09/2024
19474711,21:21 04/09/2024
19443211,21:21 04/09/2024
19942391,21:21 04/09/2024
19446111,21:21 04/09/2024
19444531,21:21 04/09/2024
19503191,21:21 04/09/2024
19526881,21:21 04/09/2024
19512891,21:21 04/09/2024
19507081,21:21 04/09/2024
19529431,21:21 04/09/2024
19522981,21:21 04/09/2024
19520101,21:21 04/09/2024
19508951,21:21 04/09/2024
19429601,21:21 04/09/2024
19473571,21:21 04/09/2024
22665261,21:21 04/09/2024
